Row Number,timestamp,temperature,condition,sunrise,sunset,timestamp,speed,direction,directionType,timestamp,surf,swells,timestamp,height,type
58,2025-10-09 10:00:00,20.66123,LIGHT_SHOWERS,,,2025-10-09 10:00:00,56.45846,22.11537,Offshore,2025-10-09 10:00:00,"{'min': 2.4, 'max': 3, 'plus': False, 'humanRelation': '2x overhead', 'raw': {'min': 2.40916, 'max': 2.87246}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.73925, 'period': 15, 'spread': 10.55, 'direction': 186.06439}, {'height': 1.32449, 'period': 5, 'spread': 28.51, 'direction': 39.22998}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 10:00:00,0.98,NORMAL
59,2025-10-09 11:00:00,20.34566,OVERCAST,,,2025-10-09 11:00:00,57.08332,15.8479,Offshore,2025-10-09 11:00:00,"{'min': 2.4, 'max': 3, 'plus': False, 'humanRelation': '2x overhead', 'raw': {'min': 2.30492, 'max': 2.75664}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.71799, 'period': 15, 'spread': 11.09, 'direction': 183.37616}, {'height': 1.3349, 'period': 5, 'spread': 28.6, 'direction': 33.76831}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 11:00:00,0.81,NORMAL
60,2025-10-09 12:00:00,20.43512,OVERCAST,,,2025-10-09 12:00:00,57.97825,15.34019,Offshore,2025-10-09 12:00:00,"{'min': 1.8, 'max': 2.4, 'plus': False, 'humanRelation': 'Overhead to well overhead', 'raw': {'min': 2.28175, 'max': 2.72189}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.65584, 'period': 14, 'spread': 12.25, 'direction': 179.78595}, {'height': 1.36341, 'period': 5, 'spread': 27.93, 'direction': 29.11816}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 12:00:00,0.73,NORMAL
61,2025-10-09 13:00:00,20.04955,OVERCAST,,,2025-10-09 13:00:00,55.89517,15.05785,Offshore,2025-10-09 13:00:00,"{'min': 1.5, 'max': 2.1, 'plus': False, 'humanRelation': 'Head to 0.6m overhead', 'raw': {'min': 1.9227, 'max': 2.23542}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.52774, 'period': 14, 'spread': 12.06, 'direction': 176.03326}, {'height': 1.39613, 'period': 5, 'spread': 28.16, 'direction': 25.47739}, {'height': 0.23292, 'period': 10, 'spread': 9.75, 'direction': 111.47012}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 13:00:00,0.78,NORMAL
62,2025-10-09 14:00:00,19.81656,OVERCAST,,,2025-10-09 14:00:00,54.60893,16.50391,Offshore,2025-10-09 14:00:00,"{'min': 1.2, 'max': 2, 'plus': False, 'humanRelation': 'Chest to 0.3m overhead', 'raw': {'min': 1.70263, 'max': 2.03852}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.35748, 'period': 13, 'spread': 14.41, 'direction': 171.0506}, {'height': 1.42337, 'period': 5, 'spread': 28.09, 'direction': 23.67792}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 14:00:00,0.92,NORMAL
63,2025-10-09 15:00:00,19.6641,CLOUDY,,,2025-10-09 15:00:00,53.23417,17.12205,Offshore,2025-10-09 15:00:00,"{'min': 1.2, 'max': 1.8, 'plus': False, 'humanRelation': 'Chest to overhead', 'raw': {'min': 1.47098, 'max': 1.72579}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.1047, 'period': 13, 'spread': 15.3, 'direction': 166.48065}, {'height': 1.40888, 'period': 5, 'spread': 27.87, 'direction': 22.53064}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 15:00:00,1.13,NORMAL
64,2025-10-09 16:00:00,19.73301,OVERCAST,,,2025-10-09 16:00:00,48.404,15.89776,Offshore,2025-10-09 16:00:00,"{'min': 0.9, 'max': 1.4, 'plus': False, 'humanRelation': 'Waist to shoulder', 'raw': {'min': 1.11192, 'max': 1.30882}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 1.84446, 'period': 13, 'spread': 16.09, 'direction': 161.57599}, {'height': 1.35079, 'period': 5, 'spread': 27.9, 'direction': 20.27435}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 16:00:00,1.34,NORMAL
65,2025-10-09 17:00:00,19.5373,CLOUDY,,,2025-10-09 17:00:00,44.77496,16.43297,Offshore,2025-10-09 17:00:00,"{'min': 0.9, 'max': 1.2, 'plus': False, 'humanRelation': 'Waist to chest', 'raw': {'min': 0.82236, 'max': 1.16983}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 1.62667, 'period': 13, 'spread': 16.73, 'direction': 156.05377}, {'height': 1.25818, 'period': 5, 'spread': 27.36, 'direction': 18.46344}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 17:00:00,1.49,NORMAL
66,2025-10-09 18:00:00,19.48289,NIGHT_CLOUDY,,,2025-10-09 18:00:00,43.32644,13.64239,Offshore,2025-10-09 18:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.48647, 'max': 0.84552}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 1.44397, 'period': 12, 'spread': 17, 'direction': 151.33051}, {'height': 1.17923, 'period': 5, 'spread': 26.57, 'direction': 16.33948}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 18:00:00,1.52,NORMAL
67,2025-10-09 19:00:00,19.48977,NIGHT_CLEAR,,,2025-10-09 19:00:00,40.84723,9.81942,Offshore,2025-10-09 19:00:00,"{'min': 0.3, 'max': 0.6, 'plus': False, 'humanRelation': 'Knee to thigh', 'raw': {'min': 0.38222, 'max': 0.74128}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 1.246, 'period': 12, 'spread': 17.26, 'direction': 148.13861}, {'height': 1.10023, 'period': 5, 'spread': 26.18, 'direction': 13.69193}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 19:00:00,1.42,NORMAL
