Row Number,timestamp,temperature,condition,sunrise,sunset,timestamp,speed,direction,directionType,timestamp,surf,swells,timestamp,height,type
10,2025-09-29 10:00:00,26.47219,THUNDER_SHOWERS,1759955957.0,1759997377.0,2025-09-29 10:00:00,22.98789,264.60861,Offshore,2025-09-29 10:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.67, 'max': 0.97}}","[{'height': 1.26708, 'period': 6, 'spread': 30.01, 'direction': 165.24396}, {'height': 0.71974, 'period': 10, 'spread': 11.03, 'direction': 73.89392}, {'height': 0.74377, 'period': 9, 'spread': 8.87, 'direction': 105.98962}, {'height': 0.17799, 'period': 9, 'spread': 5.49, 'direction': 145.45007}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 10:00:00,1.05,NORMAL
11,2025-09-29 11:00:00,26.02781,CLOUDY,1760042412.0,1760083689.0,2025-09-29 11:00:00,20.10025,268.19108,Offshore,2025-09-29 11:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.66, 'max': 0.97}}","[{'height': 1.21466, 'period': 6, 'spread': 29.4, 'direction': 163.83496}, {'height': 0.70993, 'period': 10, 'spread': 11.1, 'direction': 74.08179}, {'height': 0.74738, 'period': 9, 'spread': 8.75, 'direction': 105.73151}, {'height': 0.17516, 'period': 9, 'spread': 5.4, 'direction': 145.48297}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 11:00:00,1.05,NORMAL
12,2025-09-29 12:00:00,26.42451,CLEAR,1760128866.0,1760170001.0,2025-09-29 12:00:00,18.34787,283.45093,Offshore,2025-09-29 12:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.68, 'max': 0.98}}","[{'height': 1.209, 'period': 6, 'spread': 27.71, 'direction': 162.17407}, {'height': 0.69797, 'period': 10, 'spread': 11.11, 'direction': 74.19849}, {'height': 0.75096, 'period': 9, 'spread': 9.1, 'direction': 106.09412}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 12:00:00,1.05,NORMAL
13,2025-09-29 13:00:00,26.25,CLEAR,1760215322.0,1760256315.0,2025-09-29 13:00:00,18.16725,296.5288,Offshore,2025-09-29 13:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.64, 'max': 0.94}}","[{'height': 1.19943, 'period': 6, 'spread': 22.96, 'direction': 160.63715}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.22074, 'period': 2, 'spread': 21.25, 'direction': 281.31305}, {'height': 1.01289, 'period': 9, 'spread': 18.41, 'direction': 91.43518}]",2025-09-29 13:00:00,1.08,NORMAL
14,2025-09-29 14:00:00,25.55,CLEAR,1760301777.0,1760342629.0,2025-09-29 14:00:00,19.56595,298.91467,Offshore,2025-09-29 14:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.65, 'max': 0.96}}","[{'height': 1.18567, 'period': 7, 'spread': 20.23, 'direction': 162.28381}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.37187, 'period': 3, 'spread': 24.47, 'direction': 296.72992}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 1.02107, 'period': 9, 'spread': 18.85, 'direction': 92.91217}]",2025-09-29 14:00:00,1.12,NORMAL
15,2025-09-29 15:00:00,24.6198,CLEAR,1760388233.0,1760428944.0,2025-09-29 15:00:00,24.12628,292.49604,Offshore,2025-09-29 15:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.7, 'max': 1.01}}","[{'height': 1.18833, 'period': 7, 'spread': 18.93, 'direction': 163.30847}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.50095, 'period': 3, 'spread': 26.1, 'direction': 304.77405}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 1.00321, 'period': 9, 'spread': 18.72, 'direction': 93.08789}]",2025-09-29 15:00:00,1.18,NORMAL
16,2025-09-29 16:00:00,23.8791,CLEAR,1760474690.0,1760515260.0,2025-09-29 16:00:00,20.20778,302.07145,Offshore,2025-09-29 16:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.67, 'max': 0.98}}","[{'height': 1.17997, 'period': 7, 'spread': 17.94, 'direction': 164.49207}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.50255, 'period': 3, 'spread': 27.14, 'direction': 313.91974}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.98596, 'period': 9, 'spread': 18.56, 'direction': 93.13721}]",2025-09-29 16:00:00,1.25,NORMAL
17,2025-09-29 17:00:00,22.901,CLEAR,,,2025-09-29 17:00:00,14.80487,304.81523,Offshore,2025-09-29 17:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.63, 'max': 0.93}}","[{'height': 1.15431, 'period': 7, 'spread': 17.41, 'direction': 165.91443}, {'height': 0.48815, 'period': 3, 'spread': 27.29, 'direction': 327.13867}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.9735, 'period': 9, 'spread': 18.74, 'direction': 93.5722}]",2025-09-29 17:00:00,1.32,NORMAL
18,2025-09-29 18:00:00,21.79219,NIGHT_CLEAR,,,2025-09-29 18:00:00,15.3377,299.66086,Offshore,2025-09-29 18:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.68, 'max': 0.99}}","[{'height': 1.11613, 'period': 7, 'spread': 16.87, 'direction': 167.11432}, {'height': 0.55256, 'period': 3, 'spread': 27.16, 'direction': 337.50879}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.95359, 'period': 9, 'spread': 18.68, 'direction': 93.6792}]",2025-09-29 18:00:00,1.37,NORMAL
19,2025-09-29 19:00:00,21.17949,NIGHT_CLEAR,,,2025-09-29 19:00:00,15.41614,305.34898,Offshore,2025-09-29 19:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.67, 'max': 0.97}}","[{'height': 1.07273, 'period': 8, 'spread': 16.5, 'direction': 168.10266}, {'height': 0.65916, 'period': 4, 'spread': 28.07, 'direction': 342.24603}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.92943, 'period': 9, 'spread': 18.45, 'direction': 93.56055}]",2025-09-29 19:00:00,1.37,NORMAL
