Row Number,timestamp,temperature,condition,sunrise,sunset,timestamp,speed,direction,directionType,timestamp,surf,swells,timestamp,height,type
0,2025-09-20 13:00:00,21.9,NIGHT_CLEAR,1758365409.0,1758409441.0,2025-09-20 13:00:00,7.3387,112.02689,Onshore,2025-09-20 13:00:00,"{'min': 0.3, 'max': 0.6, 'plus': False, 'humanRelation': 'Knee to thigh', 'raw': {'min': 0.15937, 'max': 0.53939}}","[{'height': 0.42731, 'period': 8, 'spread': 18.41, 'direction': 72.77136}, {'height': 0.26766, 'period': 10, 'spread': 9.15, 'direction': 122.24048}, {'height': 0.13394, 'period': 6, 'spread': 14.38, 'direction': 132.15717}, {'height': 0.06149, 'period': 12, 'spread': 11.07, 'direction': 69.66577}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-20 13:00:00,0.18,NORMAL
1,2025-09-20 14:00:00,21.42002,NIGHT_MIST,1758451855.0,1758495752.0,2025-09-20 14:00:00,8.93494,106.72128,Onshore,2025-09-20 14:00:00,"{'min': 0.3, 'max': 0.6, 'plus': False, 'humanRelation': 'Knee to thigh', 'raw': {'min': 0.15937, 'max': 0.53939}}","[{'height': 0.42231, 'period': 8, 'spread': 18.35, 'direction': 73.11981}, {'height': 0.28352, 'period': 9, 'spread': 9.19, 'direction': 122.16541}, {'height': 0.11738, 'period': 6, 'spread': 11.41, 'direction': 138.09088}, {'height': 0.05922, 'period': 12, 'spread': 10.13, 'direction': 68.53143}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-20 14:00:00,0.11,NORMAL
2,2025-09-20 15:00:00,20.83,NIGHT_MIST,1758538300.0,1758582062.0,2025-09-20 15:00:00,9.29941,101.52553,Onshore,2025-09-20 15:00:00,"{'min': 0.3, 'max': 0.6, 'plus': False, 'humanRelation': 'Knee to thigh', 'raw': {'min': 0.17162, 'max': 0.53939}}","[{'height': 0.31613, 'period': 8, 'spread': 14.79, 'direction': 83.63}, {'height': 0.24105, 'period': 10, 'spread': 9.39, 'direction': 120.32031}, {'height': 0.13792, 'period': 6, 'spread': 13.47, 'direction': 133.64246}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.27414, 'period': 6, 'spread': 16.31, 'direction': 61.11243}, {'height': 0.14176, 'period': 7, 'spread': 8.01, 'direction': 128.90436}]",2025-09-20 15:00:00,0.18,NORMAL
3,2025-09-20 16:00:00,20.76002,NIGHT_MIST,1758624746.0,1758668373.0,2025-09-20 16:00:00,7.0441,94.684,Onshore,2025-09-20 16:00:00,"{'min': 0.3, 'max': 0.6, 'plus': False, 'humanRelation': 'Knee to thigh', 'raw': {'min': 0.15937, 'max': 0.53939}}","[{'height': 0.27934, 'period': 7, 'spread': 12.72, 'direction': 79.78632}, {'height': 0.28298, 'period': 9, 'spread': 11.69, 'direction': 116.23053}, {'height': 0.14336, 'period': 6, 'spread': 13.47, 'direction': 134.53223}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.27011, 'period': 6, 'spread': 16.03, 'direction': 61.40472}, {'height': 0.14552, 'period': 7, 'spread': 7.66, 'direction': 128.32108}]",2025-09-20 16:00:00,0.38,NORMAL
4,2025-09-20 17:00:00,20.95998,NIGHT_MIST,1758711192.0,1758754683.0,2025-09-20 17:00:00,5.37534,66.62819,Onshore,2025-09-20 17:00:00,"{'min': 0.3, 'max': 0.6, 'plus': False, 'humanRelation': 'Knee to thigh', 'raw': {'min': 0.15937, 'max': 0.53939}}","[{'height': 0.27322, 'period': 7, 'spread': 12.37, 'direction': 79.46991}, {'height': 0.30892, 'period': 9, 'spread': 11.42, 'direction': 116.91064}, {'height': 0.16357, 'period': 6, 'spread': 13.29, 'direction': 134.45663}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.26435, 'period': 6, 'spread': 15.4, 'direction': 61.39233}, {'height': 0.09184, 'period': 7, 'spread': 0, 'direction': 130}]",2025-09-20 17:00:00,0.64,NORMAL
5,2025-09-20 18:00:00,20.85,NIGHT_MIST,1758797638.0,1758840994.0,2025-09-20 18:00:00,5.72775,27.90257,Onshore,2025-09-20 18:00:00,"{'min': 0.3, 'max': 0.6, 'plus': False, 'humanRelation': 'Knee to thigh', 'raw': {'min': 0.17162, 'max': 0.53939}}","[{'height': 0.26816, 'period': 7, 'spread': 11.38, 'direction': 80.82166}, {'height': 0.32691, 'period': 9, 'spread': 11, 'direction': 118.64276}, {'height': 0.12015, 'period': 6, 'spread': 13.76, 'direction': 135.20923}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.26726, 'period': 6, 'spread': 14.69, 'direction': 61.5625}, {'height': 0.1165, 'period': 7, 'spread': 8.09, 'direction': 135.08685}]",2025-09-20 18:00:00,0.91,NORMAL
6,2025-09-20 19:00:00,20.6,NIGHT_MIST,1758884084.0,1758927305.0,2025-09-20 19:00:00,8.06799,13.17087,Onshore,2025-09-20 19:00:00,"{'min': 0.3, 'max': 0.6, 'plus': False, 'humanRelation': 'Knee to thigh', 'raw': {'min': 0.17162, 'max': 0.53939}}","[{'height': 0.26336, 'period': 8, 'spread': 11.7, 'direction': 80.76404}, {'height': 0.33329, 'period': 9, 'spread': 10.27, 'direction': 120.18066}, {'height': 0.11301, 'period': 6, 'spread': 6.82, 'direction': 145.02466}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.28036, 'period': 6, 'spread': 17.19, 'direction': 65.67987}, {'height': 0.0999, 'period': 7, 'spread': 0, 'direction': 130}]",2025-09-20 19:00:00,1.1,NORMAL
7,2025-09-20 20:00:00,20.26,MIST,1758970531.0,1759013616.0,2025-09-20 20:00:00,10.34797,10.90986,Onshore,2025-09-20 20:00:00,"{'min': 0.3, 'max': 0.6, 'plus': False, 'humanRelation': 'Knee to thigh', 'raw': {'min': 0.17162, 'max': 0.53939}}","[{'height': 0.25438, 'period': 8, 'spread': 10.55, 'direction': 79.13965}, {'height': 0.35553, 'period': 9, 'spread': 12.13, 'direction': 118.80444}, {'height': 0.10482, 'period': 6, 'spread': 7.05, 'direction': 146.18942}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.26975, 'period': 6, 'spread': 16.4, 'direction': 64.67749}, {'height': 0.10175, 'period': 7, 'spread': 0, 'direction': 130}]",2025-09-20 20:00:00,1.18,NORMAL
8,2025-09-20 21:00:00,19.92,MIST,1759056978.0,1759099927.0,2025-09-20 21:00:00,11.83971,19.82875,Onshore,2025-09-20 21:00:00,"{'min': 0.3, 'max': 0.6, 'plus': False, 'humanRelation': 'Knee to thigh', 'raw': {'min': 0.17162, 'max': 0.53939}}","[{'height': 0.22699, 'period': 7, 'spread': 8.21, 'direction': 75.41388}, {'height': 0.39151, 'period': 9, 'spread': 15.29, 'direction': 118.90271}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.05488, 'period': 12, 'spread': 9.53, 'direction': 68.16266}, {'height': 0.27019, 'period': 6, 'spread': 16.27, 'direction': 65.56421}, {'height': 0.10201, 'period': 7, 'spread': 0, 'direction': 130}]",2025-09-20 21:00:00,1.12,NORMAL
9,2025-09-20 22:00:00,20.04,MIST,1759143424.0,1759186239.0,2025-09-20 22:00:00,12.45972,19.01358,Onshore,2025-09-20 22:00:00,"{'min': 0.3, 'max': 0.6, 'plus': False, 'humanRelation': 'Knee to thigh', 'raw': {'min': 0.17162, 'max': 0.53939}}","[{'height': 0.21313, 'period': 8, 'spread': 8.47, 'direction': 74.83978}, {'height': 0.39567, 'period': 9, 'spread': 15.49, 'direction': 118.91345}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.05381, 'period': 12, 'spread': 9.54, 'direction': 68.24182}, {'height': 0.27909, 'period': 6, 'spread': 16.15, 'direction': 67.25323}, {'height': 0.10096, 'period': 7, 'spread': 0, 'direction': 130}]",2025-09-20 22:00:00,0.95,NORMAL
